type,Total,Time,NSample,Mem,optim,device
double,16.391407,3.278281,5,22.888184,mpi,1
double,169.097798,33.819560,5,91.552734,mpi,1
double,592.275652,118.455130,5,205.993652,mpi,1
double,1806.700550,361.340110,5,366.210938,mpi,1
double,3.629360,0.725872,5,22.888184,mpi,2
double,40.573483,8.114697,5,91.552734,mpi,2
double,177.031455,35.406291,5,205.993652,mpi,2
double,361.176574,72.235315,5,366.210938,mpi,2
double,808.950994,161.790199,5,572.204590,mpi,2
double,1132.106736,226.421347,5,823.974609,mpi,2
double,0.899473,0.179895,5,22.888184,mpi,4
double,10.620253,2.124051,5,91.552734,mpi,4
double,50.832801,10.166560,5,205.993652,mpi,4
double,90.657603,18.131521,5,366.210938,mpi,4
double,236.097765,47.219553,5,572.204590,mpi,4
double,350.229706,70.045941,5,823.974609,mpi,4
double,659.586068,131.917214,5,1121.520996,mpi,4
double,697.996075,139.599215,5,1464.843750,mpi,4
double,1313.972129,262.794426,5,1853.942871,mpi,4
double,0.255461,0.051092,5,22.888184,mpi,8
double,3.215168,0.643034,5,91.552734,mpi,8
double,15.072326,3.014465,5,205.993652,mpi,8
double,27.010766,5.402153,5,366.210938,mpi,8
double,73.977227,14.795445,5,572.204590,mpi,8
double,105.391941,21.078388,5,823.974609,mpi,8
double,200.815020,40.163004,5,1121.520996,mpi,8
double,186.956335,37.391267,5,1464.843750,mpi,8
double,420.567710,84.113542,5,1853.942871,mpi,8
double,490.284376,98.056875,5,2288.818359,mpi,8
double,20.788172,2.078817,10,22.888184,openmp,2
double,224.940988,22.494099,10,91.552734,openmp,2
double,5.978728,0.597873,10,22.888184,openmp,4
double,66.943826,6.694383,10,91.552734,openmp,4
double,252.102958,25.210296,10,205.993652,openmp,4
double,3.833924,0.383392,10,22.888184,openmp,8
double,38.868158,3.886816,10,91.552734,openmp,8
double,131.109497,13.110950,10,205.993652,openmp,8
double,292.867035,29.286703,10,366.210938,openmp,8
double,496.618010,49.661801,10,572.204590,openmp,8
double,1018.004614,101.800461,10,823.974609,openmp,8
double,1575.355034,157.535503,10,1121.520996,openmp,8
double,7.077888,0.707789,10,22.888184,seq,1
double,67.876753,6.787675,10,91.552734,seq,1
double,325.184748,32.518475,10,205.993652,seq,1
double,7.087619,0.708762,10,22.888184,seq,1
double,93.883582,9.388358,10,91.552734,seq,1
double,332.610491,33.261049,10,205.993652,seq,1
double,823.347495,82.334750,10,366.210938,seq,1
double,1683.050826,168.305083,10,572.204590,seq,1
double,2802.426670,280.242667,10,823.974609,seq,1
